iter     sigmaG  sigmaS  sigmaE  freq  a    d
706 0.07606 0.0001 4.021 0.6304 2.381 2.753 
711 0.4849 0.0001 4.233 0.8725 2.252 2.369 
716 0.266 0.0001 4.114 0.5875 1.674 2.165 
721 0.09876 0.0001 4.093 0.8314 1.956 2.516 
726 0.05253 0.0001 4.538 0.8326 2.023 2.282 
731 0.3766 0.0001 4.315 0.8469 2.345 1.419 
736 0.3413 0.0001 3.927 0.8133 2.409 1.511 
741 0.3538 0.0001 4.14 0.5048 2.603 2.257 
746 0.1742 0.0001 4.369 0.7333 2.277 2.482 
751 0.3498 0.0001 4.143 0.7809 2.493 2.134 
756 0.2125 0.0001 3.865 0.571 2.309 2.502 
761 0.1504 0.0001 4.031 0.5792 2.199 2.383 
766 0.1081 0.0001 3.744 0.621 1.76 2.476 
771 0.4013 0.0001 3.859 0.7261 2.123 1.882 
776 0.1586 0.0001 3.649 0.6928 1.84 1.686 
781 0.09127 0.0001 3.921 0.7941 1.619 1.49 
786 0.1872 0.0001 3.786 0.6412 1.862 1.759 
791 0.1045 0.0001 4.047 0.5896 1.497 1.766 
796 0.177 0.0001 3.735 0.7515 1.367 1.815 
801 0.1455 0.0001 4.05 0.6873 1.746 1.811 
806 0.2204 0.0001 3.721 0.6014 2.079 1.715 
811 0.1626 0.0001 3.754 0.7549 1.999 1.391 
816 0.09849 0.0001 3.69 0.7497 1.943 1.87 
821 0.2232 0.0001 3.568 0.7281 1.9 1.836 
826 0.2769 0.0001 4.195 0.5911 2.009 1.723 
831 0.1349 0.0001 3.992 0.6194 2.006 1.9 
836 0.3 0.0001 3.948 0.6971 2.037 2.155 
841 0.2317 0.0001 3.615 0.6411 2.019 1.548 
846 0.2533 0.0001 3.491 0.387 2.288 1.75 
851 0.3238 0.0001 4.112 0.7516 2.555 1.944 
856 0.1598 0.0001 4.329 0.7652 2.4 2.316 
861 0.4473 0.0001 3.943 0.817 2.781 2.254 
866 0.2613 0.0001 4.369 0.5734 2.523 2.404 
871 0.8001 0.0001 4.118 0.9449 2.726 1.944 
876 0.3996 0.0001 4.032 0.5481 2.372 1.767 
881 0.3111 0.0001 3.943 0.5391 2.534 1.689 
886 0.5974 0.0001 4.031 0.8427 2.718 1.933 
891 0.1942 0.0001 3.926 0.7474 2.537 2.086 
896 0.07517 0.0001 4.212 0.6572 2.168 3.102 
901 0.25 0.0001 4.12 0.3979 2.03 3.014 
